Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Sacks
Jah-Marien Latham,Alabama,8,2023-24,1,[7],['10/14/2023'],['Arkansas'],[1.0]
Dallas Turner,Alabama,8,2023-24,4,"[3, 4, 5, 6]","['09/16/2023', '09/23/2023', '09/30/2023', '10/07/2023']","['South Fla.', 'Ole Miss', 'Mississippi St.', 'Texas A&M']","[1.5, 2.0, 1.0, 1.0]"
Terrion Arnold,Alabama,8,2023-24,1,[7],['10/14/2023'],['Arkansas'],[1.0]
Chris Braswell,Alabama,8,2023-24,5,"[1, 3, 4, 6, 8]","['09/02/2023', '09/16/2023', '09/23/2023', '10/07/2023', '10/21/2023']","['Middle Tenn.', 'South Fla.', 'Ole Miss', 'Texas A&M', 'Tennessee']","[1.0, 1.0, 1.5, 1.0, 2.0]"
Tim Smith,Alabama,8,2023-24,1,[4],['09/23/2023'],['Ole Miss'],[1.5]
Quandarrius Robinson,Alabama,8,2023-24,1,[1],['09/02/2023'],['Middle Tenn.'],[1.0]
Deontae Lawson,Alabama,8,2023-24,3,"[1, 3, 12]","['09/02/2023', '09/16/2023', '11/25/2023']","['Middle Tenn.', 'South Fla.', 'Auburn']","[1.0, 1.0, 1.0]"
Justin Eboigbe,Alabama,8,2023-24,2,"[12, 13]","['11/25/2023', '12/02/2023']","['Auburn', 'Georgia']","[1.0, 1.0]"
Shawn Collins,App State,27,2023-24,2,"[5, 9]","['09/30/2023', '11/04/2023']","['ULM', 'Marshall']","[1.0, 1.0]"
Markus Clark,App State,27,2023-24,1,[3],['09/16/2023'],['East Carolina'],[1.0]
Nate Johnson,App State,27,2023-24,5,"[3, 4, 5, 7, 11]","['09/16/2023', '09/23/2023', '09/30/2023', '10/21/2023', '11/18/2023']","['East Carolina', 'Wyoming', 'ULM', 'Old Dominion', 'James Madison']","[1.0, 1.0, 1.0, 2.0, 2.0]"
Michael Fletcher,App State,27,2023-24,2,"[11, 12]","['11/18/2023', '11/25/2023']","['James Madison', 'Ga. Southern']","[2.0, 1.0]"
Donovan Spellman,App State,27,2023-24,1,[9],['11/04/2023'],['Marshall'],[1.0]
Brendan Harrington,App State,27,2023-24,1,[2],['09/09/2023'],['North Carolina'],[1.0]
Montez Kelley,App State,27,2023-24,1,[14],['12/16/2023'],['Miami (OH)'],[1.0]
Trenton Alan Yowe,App State,27,2023-24,1,[9],['11/04/2023'],['Marshall'],[1.0]
Brodrick Gooch,App State,27,2023-24,1,[3],['09/16/2023'],['East Carolina'],[1.0]
Santana Hopper,App State,27,2023-24,3,"[7, 13, 14]","['10/21/2023', '12/02/2023', '12/16/2023']","['Old Dominion', 'Troy', 'Miami (OH)']","[1.5, 1.0, 1.0]"
Kyle Arnholt,App State,27,2023-24,1,[7],['10/21/2023'],['Old Dominion'],[1.0]
Nick Ross,App State,27,2023-24,1,[8],['10/28/2023'],['Southern Miss.'],[1.0]
Andrew Parker Jr.,App State,27,2023-24,2,"[3, 4]","['09/16/2023', '09/23/2023']","['East Carolina', 'Wyoming']","[1.0, 1.0]"
Kevin Abrams-Verwayne,App State,27,2023-24,1,[11],['11/18/2023'],['James Madison'],[1.0]
Caden Sullivan,App State,27,2023-24,1,[8],['10/28/2023'],['Southern Miss.'],[1.0]
Dashaun Mallory,Arizona St.,28,2023-24,1,[5],['09/30/2023'],['California'],[1.0]
Clayton Smith,Arizona St.,28,2023-24,2,"[10, 11]","['11/11/2023', '11/18/2023']","['UCLA', 'Oregon']","[1.0, 1.0]"
Tate Romney,Arizona St.,28,2023-24,1,[10],['11/11/2023'],['UCLA'],[1.0]
Shamari Simmons,Arizona St.,28,2023-24,1,[3],['09/16/2023'],['Fresno St.'],[1.0]
Caleb McCullough,Arizona St.,28,2023-24,1,[5],['09/30/2023'],['California'],[1.0]
Ro Torrence,Arizona St.,28,2023-24,1,[3],['09/16/2023'],['Fresno St.'],[2.0]
B.J. Green,Arizona St.,28,2023-24,4,"[2, 4, 6, 8]","['09/09/2023', '09/23/2023', '10/07/2023', '10/28/2023']","['Oklahoma St.', 'Southern California', 'Colorado', 'Washington St.']","[2.0, 1.0, 1.0, 1.5]"
Prince Dorbah,Arizona St.,28,2023-24,3,"[3, 4, 6]","['09/16/2023', '09/23/2023', '10/07/2023']","['Fresno St.', 'Southern California', 'Colorado']","[2.0, 1.0, 2.5]"
Taylor Upshaw,Arizona,29,2023-24,7,"[3, 4, 5, 7, 8, 9, 11]","['09/16/2023', '09/23/2023', '09/30/2023', '10/14/2023', '10/28/2023', '11/04/2023', '11/18/2023']","['UTEP', 'Stanford', 'Washington', 'Washington St.', 'Oregon St.', 'UCLA', 'Utah']","[1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
Tyler Manoa,Arizona,29,2023-24,1,[3],['09/16/2023'],['UTEP'],[1.0]
Jacob Manu,Arizona,29,2023-24,3,"[9, 10, 12]","['11/04/2023', '11/11/2023', '11/25/2023']","['UCLA', 'Colorado', 'Arizona St.']","[1.0, 1.0, 1.0]"
Isaiah Ward,Arizona,29,2023-24,4,"[4, 6, 10, 13]","['09/23/2023', '10/07/2023', '11/11/2023', '12/28/2023']","['Stanford', 'Southern California', 'Colorado', 'Oklahoma']","[1.0, 1.0, 1.0, 1.0]"
Jacob Kongaika,Arizona,29,2023-24,2,"[7, 11]","['10/14/2023', '11/18/2023']","['Washington St.', 'Utah']","[1.0, 1.0]"
Tiaoalii Savea,Arizona,29,2023-24,1,[5],['09/30/2023'],['Washington'],[1.0]
Ta'ita'i Uiagalelei,Arizona,29,2023-24,1,[2],['09/09/2023'],['Mississippi St.'],[1.0]
Dalton Johnson,Arizona,29,2023-24,2,"[4, 11]","['09/23/2023', '11/18/2023']","['Stanford', 'Utah']","[1.0, 1.0]"
DJ Warnell Jr. ,Arizona,29,2023-24,3,"[10, 12, 13]","['11/11/2023', '11/25/2023', '12/28/2023']","['Colorado', 'Arizona St.', 'Oklahoma']","[1.0, 1.0, 1.0]"
Justin Flowe,Arizona,29,2023-24,1,[6],['10/07/2023'],['Southern California'],[1.0]
Russell Davis II,Arizona,29,2023-24,3,"[6, 9, 13]","['10/07/2023', '11/04/2023', '12/28/2023']","['Southern California', 'UCLA', 'Oklahoma']","[1.5, 1.0, 1.0]"
Nate Martey,Arkansas St.,30,2023-24,5,"[3, 5, 10, 11, 12]","['09/16/2023', '09/30/2023', '11/11/2023', '11/18/2023', '11/25/2023']","['Stony Brook', 'Massachusetts', 'South Alabama', 'Texas St.', 'Marshall']","[1.0, 1.0, 2.0, 1.0, 1.0]"
Tim Hardiman,Arkansas St.,30,2023-24,1,[4],['09/23/2023'],['Southern Miss.'],[1.0]
Charles Willekes,Arkansas St.,30,2023-24,1,[8],['10/28/2023'],['ULM'],[1.0]
Thurman Geathers,Arkansas St.,30,2023-24,2,"[3, 5]","['09/16/2023', '09/30/2023']","['Stony Brook', 'Massachusetts']","[1.5, 1.0]"
Blayne Toll,Arkansas St.,30,2023-24,2,"[3, 5]","['09/16/2023', '09/30/2023']","['Stony Brook', 'Massachusetts']","[1.0, 1.0]"
Cam Jeffery,Arkansas St.,30,2023-24,1,[9],['11/04/2023'],['Louisiana'],[1.0]
Keyron Crawford,Arkansas St.,30,2023-24,3,"[7, 9, 12]","['10/21/2023', '11/04/2023', '11/25/2023']","['Coastal Carolina', 'Louisiana', 'Marshall']","[1.0, 2.0, 1.0]"
Javante Mackey,Arkansas St.,30,2023-24,1,[5],['09/30/2023'],['Massachusetts'],[2.0]
Lorando Johnson,Arkansas,31,2023-24,1,[9],['11/04/2023'],['Florida'],[1.0]
Trajan Jeffcoat,Arkansas,31,2023-24,3,"[2, 6, 10]","['09/09/2023', '10/07/2023', '11/11/2023']","['Kent St.', 'Ole Miss', 'Auburn']","[1.5, 1.0, 1.0]"
Taurean Carter,Arkansas,31,2023-24,1,[1],['09/02/2023'],['Western Caro.'],[1.0]
John Morgan III,Arkansas,31,2023-24,2,"[2, 3]","['09/09/2023', '09/16/2023']","['Kent St.', 'BYU']","[1.0, 1.0]"
Malik Chavis,Arkansas,31,2023-24,1,[6],['10/07/2023'],['Ole Miss'],[1.0]
Jordan Crook,Arkansas,31,2023-24,1,[11],['11/18/2023'],['FIU'],[1.0]
Jaheim Thomas,Arkansas,31,2023-24,2,"[2, 3]","['09/09/2023', '09/16/2023']","['Kent St.', 'BYU']","[1.5, 1.0]"
Landon Jackson,Arkansas,31,2023-24,4,"[2, 3, 7, 11]","['09/09/2023', '09/16/2023', '10/14/2023', '11/18/2023']","['Kent St.', 'BYU', 'Alabama', 'FIU']","[1.0, 1.0, 3.5, 1.0]"
Chris Paul Jr.,Arkansas,31,2023-24,2,"[2, 9]","['09/09/2023', '11/04/2023']","['Kent St.', 'Florida']","[1.0, 1.0]"
Eric Gregory,Arkansas,31,2023-24,1,[9],['11/04/2023'],['Florida'],[1.0]
Nico Davillier,Arkansas,31,2023-24,1,[8],['10/21/2023'],['Mississippi St.'],[1.0]
Keivie Rose,Arkansas,31,2023-24,1,[4],['09/23/2023'],['LSU'],[1.0]
Marcus Harris,Auburn,37,2023-24,4,"[7, 9, 10, 12]","['10/21/2023', '11/04/2023', '11/11/2023', '11/25/2023']","['Ole Miss', 'Vanderbilt', 'Arkansas', 'Alabama']","[1.5, 1.0, 1.5, 1.0]"
Caleb Wooden,Auburn,37,2023-24,1,[4],['09/23/2023'],['Texas A&M'],[1.0]
Donovan Kaufman,Auburn,37,2023-24,1,[1],['09/02/2023'],['Massachusetts'],[1.0]
Justin Rogers,Auburn,37,2023-24,1,[7],['10/21/2023'],['Ole Miss'],[1.0]
Elijah McAllister,Auburn,37,2023-24,2,"[1, 11]","['09/02/2023', '11/18/2023']","['Massachusetts', 'New Mexico St.']","[1.0, 1.0]"
Zykeivous Walker,Auburn,37,2023-24,2,"[9, 13]","['11/04/2023', '12/30/2023']","['Vanderbilt', 'Maryland']","[1.0, 1.0]"
Eugene Asante,Auburn,37,2023-24,3,"[1, 2, 6]","['09/02/2023', '09/09/2023', '10/14/2023']","['Massachusetts', 'California', 'LSU']","[1.0, 1.0, 1.0]"
Jalen McLeod,Auburn,37,2023-24,3,"[7, 9, 10]","['10/21/2023', '11/04/2023', '11/11/2023']","['Ole Miss', 'Vanderbilt', 'Arkansas']","[1.0, 1.0, 3.0]"
Austin Keys,Auburn,37,2023-24,2,"[9, 13]","['11/04/2023', '12/30/2023']","['Vanderbilt', 'Maryland']","[1.0, 1.0]"
Keldric Faulk,Auburn,37,2023-24,1,[13],['12/30/2023'],['Maryland'],[1.0]
Cam Riley,Auburn,37,2023-24,2,"[3, 4]","['09/16/2023', '09/23/2023']","['Samford', 'Texas A&M']","[1.0, 1.0]"
Lawrence Johnson,Auburn,37,2023-24,1,[3],['09/16/2023'],['Samford'],[1.0]
Danny Royster,Ball St.,47,2023-24,1,[2],['09/09/2023'],['Georgia'],[1.0]
Mikhari Sibblis,Ball St.,47,2023-24,3,"[9, 10, 11]","['11/01/2023', '11/07/2023', '11/18/2023']","['Bowling Green', 'NIU', 'Kent St.']","[1.0, 1.0, 1.0]"
Tyler Potts,Ball St.,47,2023-24,1,[10],['11/07/2023'],['NIU'],[1.0]
Loren Strickland,Ball St.,47,2023-24,1,[3],['09/16/2023'],['Indiana St.'],[1.0]
Cole Pearce,Ball St.,47,2023-24,2,"[5, 6]","['09/30/2023', '10/07/2023']","['Western Mich.', 'Eastern Mich.']","[1.0, 2.0]"
Tavion Woodard,Ball St.,47,2023-24,1,[6],['10/07/2023'],['Eastern Mich.'],[1.0]
Jack Sape,Ball St.,47,2023-24,1,[3],['09/16/2023'],['Indiana St.'],[1.5]
Keionte Newson,Ball St.,47,2023-24,1,[11],['11/18/2023'],['Kent St.'],[1.0]
Sidney Houston,Ball St.,47,2023-24,3,"[6, 8, 11]","['10/07/2023', '10/21/2023', '11/18/2023']","['Eastern Mich.', 'Central Mich.', 'Kent St.']","[1.0, 2.0, 2.5]"
Trey Wilson,Baylor,51,2023-24,1,[2],['09/09/2023'],['Utah'],[1.0]
Cooper Lanz,Baylor,51,2023-24,1,[5],['09/30/2023'],['UCF'],[1.0]
Matt Jones,Baylor,51,2023-24,2,"[4, 11]","['09/23/2023', '11/18/2023']","['Texas', 'TCU']","[2.0, 1.0]"
Mike Smith Jr.,Baylor,51,2023-24,1,[4],['09/23/2023'],['Texas'],[1.0]
Gabe Hall,Baylor,51,2023-24,2,"[2, 7]","['09/09/2023', '10/21/2023']","['Utah', 'Cincinnati']","[1.0, 1.0]"
TJ Franklin,Baylor,51,2023-24,2,"[2, 3]","['09/09/2023', '09/16/2023']","['Utah', 'LIU']","[1.0, 1.0]"
Brendan Bett,Baylor,51,2023-24,1,[6],['10/07/2023'],['Texas Tech'],[1.0]
Byron Vaughns,Baylor,51,2023-24,2,"[3, 9]","['09/16/2023', '11/04/2023']","['LIU', 'Houston']","[2.0, 1.0]"
Devonte Tezino,Baylor,51,2023-24,1,[1],['09/02/2023'],['Texas St.'],[1.0]
Bryson Jackson,Baylor,51,2023-24,1,[8],['10/28/2023'],['Iowa St.'],[1.0]
Andrew Simpson,Boise St.,66,2023-24,2,"[11, 12]","['11/18/2023', '11/24/2023']","['Utah St.', 'Air Force']","[1.0, 1.0]"
A'Marion McCoy,Boise St.,66,2023-24,1,[11],['11/18/2023'],['Utah St.'],[1.0]
Seyi Oladipo,Boise St.,66,2023-24,1,[13],['12/02/2023'],['UNLV'],[1.0]
Marco Notarainni,Boise St.,66,2023-24,3,"[2, 3, 6]","['09/09/2023', '09/16/2023', '10/07/2023']","['UCF', 'North Dakota', 'San Jose St.']","[1.0, 1.0, 1.0]"
Ahmed Hassanein,Boise St.,66,2023-24,9,"[3, 5, 6, 7, 8, 9, 10, 11, 12]","['09/16/2023', '09/30/2023', '10/07/2023', '10/14/2023', '10/28/2023', '11/04/2023', '11/11/2023', '11/18/2023', '11/24/2023']","['North Dakota', 'Memphis', 'San Jose St.', 'Colorado St.', 'Wyoming', 'Fresno St.', 'New Mexico', 'Utah St.', 'Air Force']","[1.5, 1.0, 1.5, 1.0, 1.0, 1.0, 2.0, 2.0, 1.0]"
Braxton Fely,Boise St.,66,2023-24,2,"[11, 12]","['11/18/2023', '11/24/2023']","['Utah St.', 'Air Force']","[1.0, 1.0]"
Michael Callahan,Boise St.,66,2023-24,1,[5],['09/30/2023'],['Memphis'],[1.0]
DJ Schramm,Boise St.,66,2023-24,1,[11],['11/18/2023'],['Utah St.'],[1.0]
Demitri Washington,Boise St.,66,2023-24,1,[3],['09/16/2023'],['North Dakota'],[1.0]
Ty Benefield,Boise St.,66,2023-24,2,"[3, 11]","['09/16/2023', '11/18/2023']","['North Dakota', 'Utah St.']","[1.0, 2.0]"
Zion Washington,Boise St.,66,2023-24,1,[3],['09/16/2023'],['North Dakota'],[1.0]
Khris Banks,Boston College,67,2023-24,1,[5],['09/30/2023'],['Virginia'],[1.0]
Donovan Ezeiruaku,Boston College,67,2023-24,1,[5],['09/30/2023'],['Virginia'],[2.0]
Edwin Kolenge,Boston College,67,2023-24,1,[9],['11/03/2023'],['Syracuse'],[1.0]
Kam Arnold,Boston College,67,2023-24,1,[13],['12/28/2023'],['SMU'],[1.0]
Sione Hala,Boston College,67,2023-24,1,[4],['09/23/2023'],['Louisville'],[1.0]
Shitta Sillah,Boston College,67,2023-24,2,"[2, 5]","['09/09/2023', '09/30/2023']","['Holy Cross', 'Virginia']","[1.0, 1.0]"
Neto Okpala,Boston College,67,2023-24,2,"[1, 4]","['09/02/2023', '09/23/2023']","['NIU', 'Louisville']","[1.0, 1.0]"
George Rooks,Boston College,67,2023-24,1,[5],['09/30/2023'],['Virginia'],[1.5]
Adrian Wilson,Bowling Green,71,2023-24,1,[4],['09/30/2023'],['Georgia Tech'],[1.0]
Davon Ferguson,Bowling Green,71,2023-24,2,"[2, 8]","['09/09/2023', '11/01/2023']","['Eastern Ill.', 'Ball St.']","[1.0, 1.0]"
Billie Roberts,Bowling Green,71,2023-24,1,[4],['09/30/2023'],['Georgia Tech'],[1.0]
Dontrez Brown,Bowling Green,71,2023-24,2,"[8, 11]","['11/01/2023', '11/21/2023']","['Ball St.', 'Western Mich.']","[1.0, 1.0]"
Patrick Day,Bowling Green,71,2023-24,1,[11],['11/21/2023'],['Western Mich.'],[1.0]
Ali Saad,Bowling Green,71,2023-24,1,[7],['10/21/2023'],['Akron'],[1.0]
Chace Davis,Bowling Green,71,2023-24,1,[4],['09/30/2023'],['Georgia Tech'],[1.0]
Dierre Kelly,Bowling Green,71,2023-24,1,[11],['11/21/2023'],['Western Mich.'],[1.0]
Anthony Hawkins,Bowling Green,71,2023-24,1,[1],['09/02/2023'],['Liberty'],[1.0]
Jordan Porter,Bowling Green,71,2023-24,2,"[9, 11]","['11/08/2023', '11/21/2023']","['Kent St.', 'Western Mich.']","[1.0, 2.0]"
Cashius Howell,Bowling Green,71,2023-24,6,"[2, 3, 7, 8, 9, 10]","['09/09/2023', '09/23/2023', '10/21/2023', '11/01/2023', '11/08/2023', '11/14/2023']","['Eastern Ill.', 'Ohio', 'Akron', 'Ball St.', 'Kent St.', 'Toledo']","[1.5, 1.0, 2.0, 1.0, 2.0, 2.0]"
Darren Anders,Bowling Green,71,2023-24,2,"[5, 7]","['10/07/2023', '10/21/2023']","['Miami (OH)', 'Akron']","[1.0, 2.0]"
Max Tooley,BYU,77,2023-24,1,[3],['09/16/2023'],['Arkansas'],[1.0]
Tyler Batty,BYU,77,2023-24,5,"[1, 3, 5, 10, 12]","['09/02/2023', '09/16/2023', '09/29/2023', '11/11/2023', '11/25/2023']","['Sam Houston', 'Arkansas', 'Cincinnati', 'Iowa St.', 'Oklahoma St.']","[1.0, 1.5, 1.0, 1.0, 1.0]"
Ben Bywater,BYU,77,2023-24,1,[4],['09/23/2023'],['Kansas'],[1.0]
Isaiah Bagnah,BYU,77,2023-24,1,[8],['10/28/2023'],['Texas'],[1.0]
Jackson Cravens,BYU,77,2023-24,1,[11],['11/18/2023'],['Oklahoma'],[1.0]
Eddie Heckard,BYU,77,2023-24,1,[3],['09/16/2023'],['Arkansas'],[1.0]
Red Murdock,Buffalo,86,2023-24,1,[5],['09/30/2023'],['Akron'],[2.0]
Jyaire Stevens,Buffalo,86,2023-24,1,[12],['11/21/2023'],['Eastern Mich.'],[1.0]
Devonyal Lofton,Buffalo,86,2023-24,1,[4],['09/23/2023'],['Louisiana'],[1.0]
Joe Andreessen,Buffalo,86,2023-24,1,[8],['10/21/2023'],['Kent St.'],[1.0]
George Wolo,Buffalo,86,2023-24,3,"[2, 5, 10]","['09/09/2023', '09/30/2023', '11/07/2023']","['Fordham', 'Akron', 'Ohio']","[1.0, 1.5, 1.0]"
Max Michel,Buffalo,86,2023-24,2,"[4, 5]","['09/23/2023', '09/30/2023']","['Louisiana', 'Akron']","[1.0, 1.0]"
Jaylon Bass,Buffalo,86,2023-24,1,[8],['10/21/2023'],['Kent St.'],[1.5]
C.J. Bazile,Buffalo,86,2023-24,2,"[3, 6]","['09/16/2023', '10/07/2023']","['Liberty', 'Central Mich.']","[1.0, 1.0]"
Camryn Bracha,Fresno St.,96,2023-24,1,[5],['09/30/2023'],['Nevada'],[1.5]
Sione Noa,Fresno St.,96,2023-24,2,"[5, 10]","['09/30/2023', '11/11/2023']","['Nevada', 'San Jose St.']","[1.0, 1.0]"
Morice Norris Jr.,Fresno St.,96,2023-24,3,"[3, 5, 11]","['09/16/2023', '09/30/2023', '11/18/2023']","['Arizona St.', 'Nevada', 'New Mexico']","[1.0, 1.5, 1.0]"
Tuasivi Nomura,Fresno St.,96,2023-24,1,[8],['10/28/2023'],['UNLV'],[1.0]
Jacob Holmes,Fresno St.,96,2023-24,4,"[3, 5, 7, 13]","['09/16/2023', '09/30/2023', '10/13/2023', '12/16/2023']","['Arizona St.', 'Nevada', 'Utah St.', 'New Mexico St.']","[1.0, 1.0, 2.0, 1.0]"
Devo Bridges,Fresno St.,96,2023-24,3,"[6, 9, 13]","['10/07/2023', '11/04/2023', '12/16/2023']","['Wyoming', 'Boise St.', 'New Mexico St.']","[1.0, 1.0, 1.0]"
Charles Remlinger,Fresno St.,96,2023-24,1,[3],['09/16/2023'],['Arizona St.'],[1.0]
Malachi Langley,Fresno St.,96,2023-24,1,[7],['10/13/2023'],['Utah St.'],[1.0]
Dupre Mendoza,Fresno St.,96,2023-24,2,"[4, 11]","['09/23/2023', '11/18/2023']","['Kent St.', 'New Mexico']","[1.0, 1.0]"
Kemari Munier-Bailey,Fresno St.,96,2023-24,2,"[3, 5]","['09/16/2023', '09/30/2023']","['Arizona St.', 'Nevada']","[1.0, 1.0]"
Chrishawn Gordon,Fresno St.,96,2023-24,1,[5],['09/30/2023'],['Nevada'],[1.0]
Johnny Hudson Jr.,Fresno St.,96,2023-24,1,[2],['09/09/2023'],['Eastern Wash.'],[1.0]
Phoenix Jackson,Fresno St.,96,2023-24,1,[13],['12/16/2023'],['New Mexico St.'],[1.0]
Levelle Bailey,Fresno St.,96,2023-24,2,"[12, 13]","['11/25/2023', '12/16/2023']","['San Diego St.', 'New Mexico St.']","[1.5, 1.0]"
Isaiah Johnson,Fresno St.,96,2023-24,1,[9],['11/04/2023'],['Boise St.'],[1.0]
Nate Burrell,California,107,2023-24,2,"[10, 13]","['11/11/2023', '12/16/2023']","['Washington St.', 'Texas Tech']","[1.0, 1.0]"
Xavier Carlton,California,107,2023-24,4,"[1, 3, 8, 12]","['09/02/2023', '09/16/2023', '10/28/2023', '11/25/2023']","['North Texas', 'Idaho', 'Southern California', 'UCLA']","[1.0, 1.0, 1.0, 1.5]"
David Reese,California,107,2023-24,2,"[2, 10]","['09/09/2023', '11/11/2023']","['Auburn', 'Washington St.']","[1.0, 2.0]"
Derek Wilkins,California,107,2023-24,1,[2],['09/09/2023'],['Auburn'],[1.0]
Ricky Correia,California,107,2023-24,1,[2],['09/09/2023'],['Auburn'],[1.0]
Patrick McMorris,California,107,2023-24,1,[8],['10/28/2023'],['Southern California'],[1.0]
Cade Uluave,California,107,2023-24,1,[12],['11/25/2023'],['UCLA'],[1.0]
Kaleb Elarms-Orr,California,107,2023-24,1,[10],['11/11/2023'],['Washington St.'],[1.0]
Myles Jernigan,California,107,2023-24,1,[1],['09/02/2023'],['North Texas'],[1.0]
Jaedon Roberts,California,107,2023-24,1,[10],['11/11/2023'],['Washington St.'],[1.0]
Jackson Sirmon,California,107,2023-24,1,[1],['09/02/2023'],['North Texas'],[1.0]
Darius Muasau,UCLA,110,2023-24,3,"[2, 4, 5]","['09/09/2023', '09/23/2023', '10/07/2023']","['San Diego St.', 'Utah', 'Washington St.']","[2.0, 1.0, 1.0]"
Kain Medrano,UCLA,110,2023-24,1,[4],['09/23/2023'],['Utah'],[2.0]
JonJon Vaughns,UCLA,110,2023-24,1,[11],['11/18/2023'],['Southern California'],[1.0]
D.J. Justice,UCLA,110,2023-24,1,[2],['09/09/2023'],['San Diego St.'],[1.0]
Carson Schwesinger,UCLA,110,2023-24,1,[7],['10/21/2023'],['Stanford'],[1.0]
Grayson Murphy,UCLA,110,2023-24,3,"[8, 12, 13]","['10/28/2023', '11/25/2023', '12/16/2023']","['Colorado', 'California', 'Boise St.']","[1.0, 1.0, 1.0]"
Jay Toia,UCLA,110,2023-24,1,[9],['11/04/2023'],['Arizona'],[1.0]
Donavyn Pellot,UCLA,110,2023-24,1,[3],['09/16/2023'],['N.C. Central'],[1.0]
Choe Bryant-Strother,UCLA,110,2023-24,1,[3],['09/16/2023'],['N.C. Central'],[1.0]
Gary Smith III,UCLA,110,2023-24,1,[8],['10/28/2023'],['Colorado'],[1.0]
Laiatu Latu,UCLA,110,2023-24,4,"[7, 8, 9, 11]","['10/21/2023', '10/28/2023', '11/04/2023', '11/18/2023']","['Stanford', 'Colorado', 'Arizona', 'Southern California']","[1.0, 3.0, 1.5, 2.0]"
Gabriel Murphy,UCLA,110,2023-24,3,"[10, 11, 13]","['11/11/2023', '11/18/2023', '12/16/2023']","['Arizona St.', 'Southern California', 'Boise St.']","[1.0, 1.0, 1.0]"
Carl Jones Jr.,UCLA,110,2023-24,2,"[8, 10]","['10/28/2023', '11/11/2023']","['Colorado', 'Arizona St.']","[1.0, 1.0]"
Matthew Alexander,UCF,128,2023-24,1,[3],['09/16/2023'],['Villanova'],[1.0]
Jason Johnson,UCF,128,2023-24,2,"[10, 12]","['11/11/2023', '11/25/2023']","['Oklahoma St.', 'Houston']","[1.0, 2.0]"
Shaun Peterson Jr.,UCF,128,2023-24,1,[8],['10/28/2023'],['West Virginia'],[1.0]
Ricky Barber,UCF,128,2023-24,1,[1],['08/31/2023'],['Kent St.'],[1.0]
Malachi Lawrence,UCF,128,2023-24,7,"[1, 2, 5, 6, 7, 9, 12]","['08/31/2023', '09/09/2023', '09/30/2023', '10/07/2023', '10/21/2023', '11/04/2023', '11/25/2023']","['Kent St.', 'Boise St.', 'Baylor', 'Kansas', 'Oklahoma', 'Cincinnati', 'Houston']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.5, 1.0]"
Lee Hunter,UCF,128,2023-24,3,"[1, 5, 7]","['08/31/2023', '09/30/2023', '10/21/2023']","['Kent St.', 'Baylor', 'Oklahoma']","[1.0, 1.0, 1.0]"
Tre'mon Morris-Brash,UCF,128,2023-24,7,"[2, 3, 4, 5, 7, 9, 12]","['09/09/2023', '09/16/2023', '09/23/2023', '09/30/2023', '10/21/2023', '11/04/2023', '11/25/2023']","['Boise St.', 'Villanova', 'Kansas St.', 'Baylor', 'Oklahoma', 'Cincinnati', 'Houston']","[1.0, 1.0, 1.0, 2.0, 1.0, 1.5, 1.0]"
Jonah Pace,Central Mich.,129,2023-24,1,[5],['10/07/2023'],['Buffalo'],[1.0]
Quindario Lee,Central Mich.,129,2023-24,3,"[3, 4, 11]","['09/23/2023', '09/30/2023', '11/24/2023']","['South Alabama', 'Eastern Mich.', 'Toledo']","[1.0, 1.0, 1.0]"
Michael Heldman,Central Mich.,129,2023-24,1,[12],['09/01/2023'],['Michigan St.'],[1.0]
Jason Wiliams,Central Mich.,129,2023-24,1,[9],['11/07/2023'],['Western Mich.'],[1.0]
Jacques Bristol,Central Mich.,129,2023-24,2,"[1, 3]","['09/09/2023', '09/23/2023']","['New Hampshire', 'South Alabama']","[1.0, 1.0]"
Robi Stuart,Central Mich.,129,2023-24,1,[10],['11/15/2023'],['Ohio'],[1.0]
Kyle Moretti,Central Mich.,129,2023-24,1,[4],['09/30/2023'],['Eastern Mich.'],[2.0]
Maurice White,Central Mich.,129,2023-24,3,"[6, 7, 12]","['10/14/2023', '10/21/2023', '09/01/2023']","['Akron', 'Ball St.', 'Michigan St.']","[1.0, 1.5, 1.0]"
Dontay Corleone,Cincinnati,140,2023-24,3,"[2, 4, 10]","['09/09/2023', '09/23/2023', '11/11/2023']","['Pittsburgh', 'Oklahoma', 'Houston']","[1.0, 1.0, 1.0]"
Daniel Grzesiak,Cincinnati,140,2023-24,1,[6],['10/14/2023'],['Iowa St.'],[2.0]
Justin Wodtly,Cincinnati,140,2023-24,1,[7],['10/21/2023'],['Baylor'],[1.0]
Malik Vann,Cincinnati,140,2023-24,1,[3],['09/16/2023'],['Miami (OH)'],[1.0]
Jowon Briggs,Cincinnati,140,2023-24,2,"[2, 7]","['09/09/2023', '10/21/2023']","['Pittsburgh', 'Baylor']","[1.0, 1.0]"
Dorian Jones,Cincinnati,140,2023-24,1,[4],['09/23/2023'],['Oklahoma'],[1.0]
Jack Dingle,Cincinnati,140,2023-24,1,[2],['09/09/2023'],['Pittsburgh'],[1.0]
Deshawn Pace,Cincinnati,140,2023-24,1,[7],['10/21/2023'],['Baylor'],[1.0]
Bryon Threats,Cincinnati,140,2023-24,1,[3],['09/16/2023'],['Miami (OH)'],[1.0]
