Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Total Tackles
Jireh Wilson,East Carolina,196,2022-23,1,[12],['11/26/2022'],['Temple'],[12.0]
Jeremy Lewis,East Carolina,196,2022-23,1,[4],['09/24/2022'],['Navy'],[10.0]
Teagan Wilk,East Carolina,196,2022-23,1,[12],['11/26/2022'],['Temple'],[10.0]
Chance Bates,East Carolina,196,2022-23,1,[9],['10/28/2022'],['BYU'],[11.0]
Julius Wood,East Carolina,196,2022-23,2,"[7, 8]","['10/15/2022', '10/22/2022']","['Memphis', 'UCF']","[10.0, 10.0]"
Gerard Stringer,East Carolina,196,2022-23,1,[1],['09/03/2022'],['NC State'],[11.0]
Xavier Smith,East Carolina,196,2022-23,1,[4],['09/24/2022'],['Navy'],[10.0]
Myles Berry,East Carolina,196,2022-23,1,[12],['11/26/2022'],['Temple'],[11.0]
Joe Sparacio,Eastern Mich.,204,2022-23,1,[7],['10/22/2022'],['Ball St.'],[15.0]
Chase Kline,Eastern Mich.,204,2022-23,2,"[3, 4]","['09/24/2022', '10/01/2022']","['Buffalo', 'Massachusetts']","[14.0, 12.0]"
Quentavius Scandrett,Eastern Mich.,204,2022-23,1,[4],['10/01/2022'],['Massachusetts'],[10.0]
Dwight Toombs,Fla. Atlantic,229,2022-23,1,[4],['09/17/2022'],['UCF'],[10.0]
Jaylen Wester,Fla. Atlantic,229,2022-23,1,[12],['11/26/2022'],['Western Ky.'],[13.0]
Teja Young,Fla. Atlantic,229,2022-23,1,[6],['10/01/2022'],['North Texas'],[11.0]
Jayden Williams,Fla. Atlantic,229,2022-23,1,[4],['09/17/2022'],['UCF'],[10.0]
Armani Adams,Fla. Atlantic,229,2022-23,1,[11],['11/19/2022'],['Middle Tenn.'],[11.0]
Jamie Pettway,Fla. Atlantic,229,2022-23,1,[12],['11/26/2022'],['Western Ky.'],[11.0]
Eddie Williams,Fla. Atlantic,229,2022-23,2,"[4, 5]","['09/17/2022', '09/24/2022']","['UCF', 'Purdue']","[15.0, 10.0]"
Reggie Peterson,FIU,231,2022-23,1,[10],['11/12/2022'],['Fla. Atlantic'],[11.0]
D'Verik Daniel,FIU,231,2022-23,1,[8],['10/28/2022'],['Louisiana Tech'],[10.0]
Demetrius Hill,FIU,231,2022-23,2,"[2, 3]","['09/10/2022', '09/24/2022']","['Texas St.', 'Western Ky.']","[11.0, 10.0]"
Donovan Manuel,FIU,231,2022-23,2,"[7, 8]","['10/22/2022', '10/28/2022']","['Charlotte', 'Louisiana Tech']","[10.0, 10.0]"
Gaethan Bernadel,FIU,231,2022-23,1,[12],['11/26/2022'],['Middle Tenn.'],[12.0]
Tatum Bethune,Florida St.,234,2022-23,1,[11],['11/25/2022'],['Florida'],[11.0]
Jammie Robinson,Florida St.,234,2022-23,1,[13],['12/29/2022'],['Oklahoma'],[13.0]
Akeem Dent,Florida St.,234,2022-23,1,[2],['09/16/2022'],['Louisville'],[10.0]
Brenton Cox Jr.,Florida,235,2022-23,1,[1],['09/03/2022'],['Utah'],[10.0]
Trey Dean III,Florida,235,2022-23,1,[1],['09/03/2022'],['Utah'],[12.0]
Amari Burney,Florida,235,2022-23,1,[11],['11/19/2022'],['Vanderbilt'],[10.0]
Ventrell Miller,Florida,235,2022-23,1,[11],['11/19/2022'],['Vanderbilt'],[11.0]
Rashad Torrence II,Florida,235,2022-23,2,"[4, 5]","['09/24/2022', '10/02/2022']","['Tennessee', 'Eastern Wash.']","[13.0, 10.0]"
Khadry Jackson,Ga. Southern,253,2022-23,1,[13],['12/27/2022'],['Buffalo'],[13.0]
Marques Watson-Trent,Ga. Southern,253,2022-23,1,[11],['11/19/2022'],['Marshall'],[12.0]
Derrick Canteen,Ga. Southern,253,2022-23,1,[7],['10/15/2022'],['James Madison'],[12.0]
Wylan Free,Ga. Southern,253,2022-23,3,"[4, 5, 6]","['09/24/2022', '10/01/2022', '10/08/2022']","['Ball St.', 'Coastal Carolina', 'Georgia St.']","[10.0, 10.0, 10.0]"
Anthony Wilson,Ga. Southern,253,2022-23,1,[12],['11/26/2022'],['App State'],[11.0]
Blake Carroll,Georgia St.,254,2022-23,1,[2],['09/10/2022'],['North Carolina'],[11.0]
Jordan Jones,Georgia St.,254,2022-23,1,[5],['10/01/2022'],['Army West Point'],[12.0]
Jontrey Hunter,Georgia St.,254,2022-23,1,[2],['09/10/2022'],['North Carolina'],[10.0]
Jacorey Crawford,Georgia St.,254,2022-23,1,[12],['11/26/2022'],['Marshall'],[10.0]
Bryquice Brown,Georgia St.,254,2022-23,1,[3],['09/17/2022'],['Charlotte'],[10.0]
Jeremiah Johnson,Georgia St.,254,2022-23,1,[12],['11/26/2022'],['Marshall'],[10.0]
Jordan Veneziale,Georgia St.,254,2022-23,2,"[2, 3]","['09/10/2022', '09/17/2022']","['North Carolina', 'Charlotte']","[10.0, 10.0]"
Antavious Lane,Georgia St.,254,2022-23,2,"[6, 7]","['10/08/2022', '10/19/2022']","['Ga. Southern', 'App State']","[15.0, 10.0]"
Ayinde Eley,Georgia Tech,255,2022-23,3,"[3, 4, 5]","['09/17/2022', '09/24/2022', '10/01/2022']","['Ole Miss', 'UCF', 'Pittsburgh']","[12.0, 10.0, 14.0]"
Charlie Thomas,Georgia Tech,255,2022-23,2,"[9, 10]","['11/05/2022', '11/12/2022']","['Virginia Tech', 'Miami (FL)']","[16.0, 11.0]"
Clayton Powell-Lee,Georgia Tech,255,2022-23,1,[8],['10/29/2022'],['Florida St.'],[14.0]
Smael Mondon,Georgia,257,2022-23,1,[11],['11/19/2022'],['Kentucky'],[11.0]
Malaki Starks,Georgia,257,2022-23,1,[9],['11/05/2022'],['Tennessee'],[10.0]
Peter Manuma,Hawaii,277,2022-23,1,[8],['10/22/2022'],['Colorado St.'],[10.0]
Logan Taylor,Hawaii,277,2022-23,6,"[8, 9, 10, 11, 12, 13]","['10/22/2022', '10/29/2022', '11/05/2022', '11/12/2022', '11/19/2022', '11/26/2022']","['Colorado St.', 'Wyoming', 'Fresno St.', 'Utah St.', 'UNLV', 'San Jose St.']","[16.0, 13.0, 11.0, 13.0, 11.0, 13.0]"
Penei Pavihi,Hawaii,277,2022-23,1,[6],['10/08/2022'],['San Diego St.'],[10.0]
Meki Pei,Hawaii,277,2022-23,1,[12],['11/19/2022'],['UNLV'],[10.0]
Jamal Morris,Houston,288,2022-23,1,[9],['11/05/2022'],['SMU'],[10.0]
Derek Parish,Houston,288,2022-23,1,[2],['09/10/2022'],['Texas Tech'],[11.0]
Mannie Nunnery,Houston,288,2022-23,1,[4],['09/24/2022'],['Rice'],[10.0]
Thabo Mwaniki,Houston,288,2022-23,1,[13],['12/23/2022'],['Louisiana'],[10.0]
Donavan Mutin,Houston,288,2022-23,2,"[1, 2]","['09/03/2022', '09/10/2022']","['UTSA', 'Texas Tech']","[11.0, 10.0]"
Isaac Darkangelo,Illinois,301,2022-23,1,[12],['11/26/2022'],['Northwestern'],[10.0]
James Head Jr.,Indiana,306,2022-23,1,[11],['11/19/2022'],['Michigan St.'],[10.0]
Aaron Casey,Indiana,306,2022-23,2,"[7, 8]","['10/15/2022', '10/22/2022']","['Maryland', 'Rutgers']","[10.0, 11.0]"
Bryant Fitzgerald,Indiana,306,2022-23,1,[11],['11/19/2022'],['Michigan St.'],[14.0]
Jonathan Haynes,Indiana,306,2022-23,1,[11],['11/19/2022'],['Michigan St.'],[12.0]
Cam Jones,Indiana,306,2022-23,3,"[3, 4, 5]","['09/17/2022', '09/24/2022', '10/01/2022']","['Western Ky.', 'Cincinnati', 'Nebraska']","[13.0, 11.0, 11.0]"
Devon Matthews,Indiana,306,2022-23,1,[11],['11/19/2022'],['Michigan St.'],[10.0]
Bradley Jennings Jr,Indiana,306,2022-23,1,[8],['10/22/2022'],['Rutgers'],[10.0]
Beau Freyler,Iowa St.,311,2022-23,1,[12],['11/26/2022'],['TCU'],[10.0]
Gerry Vaughn,Iowa St.,311,2022-23,1,[11],['11/19/2022'],['Texas Tech'],[11.0]
Jack Campbell,Iowa,312,2022-23,2,"[10, 11]","['11/12/2022', '11/19/2022']","['Wisconsin', 'Minnesota']","[11.0, 10.0]"
Jay Higgins,Iowa,312,2022-23,1,[8],['10/29/2022'],['Northwestern'],[11.0]
Seth Benson,Iowa,312,2022-23,1,[5],['10/01/2022'],['Michigan'],[14.0]
Cooper DeJean,Iowa,312,2022-23,1,[10],['11/12/2022'],['Wisconsin'],[10.0]
Daniel Green,Kansas St.,327,2022-23,1,[13],['12/03/2022'],['TCU'],[10.0]
Nick Allen,Kansas St.,327,2022-23,1,[7],['10/22/2022'],['TCU'],[10.0]
Josh Hayes,Kansas St.,327,2022-23,1,[6],['10/08/2022'],['Iowa St.'],[11.0]
VJ Payne,Kansas St.,327,2022-23,1,[14],['12/31/2022'],['Alabama'],[10.0]
Kobe Savage,Kansas St.,327,2022-23,1,[4],['09/24/2022'],['Oklahoma'],[11.0]
Drake Cheatum,Kansas St.,327,2022-23,1,[12],['11/26/2022'],['Kansas'],[10.0]
Rich Miller,Kansas,328,2022-23,1,[13],['12/28/2022'],['Arkansas'],[11.0]
Marvin Grant,Kansas,328,2022-23,1,[8],['10/22/2022'],['Baylor'],[11.0]
Kenny Logan Jr.,Kansas,328,2022-23,2,"[10, 11]","['11/12/2022', '11/19/2022']","['Texas Tech', 'Texas']","[11.0, 10.0]"
Lorenzo McCaskill,Kansas,328,2022-23,1,[7],['10/15/2022'],['Oklahoma'],[12.0]
Marvin Pierre,Kent St.,331,2022-23,3,"[6, 7, 8]","['10/08/2022', '10/15/2022', '10/22/2022']","['Miami (OH)', 'Toledo', 'Akron']","[13.0, 11.0, 14.0]"
JoJo Evans,Kent St.,331,2022-23,2,"[11, 12]","['11/16/2022', '11/26/2022']","['Eastern Mich.', 'Buffalo']","[10.0, 11.0]"
