Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Receptions
1528.0,263.0,Joe Wilkins Jr.,Miami (OH),414,2023-24,2,"[4, 6]","['09/23/2023', '10/07/2023']","['Delaware St.', 'Bowling Green']","[6.0, 6.0]"
1528.0,263.0,Javon Tracy,Miami (OH),414,2023-24,2,"[11, 12]","['11/15/2023', '11/25/2023']","['Buffalo', 'Ball St.']","[5.0, 6.0]"
1528.0,263.0,Cade McDonald,Miami (OH),414,2023-24,2,"[7, 12]","['10/14/2023', '11/25/2023']","['Western Mich.', 'Ball St.']","[6.0, 5.0]"
108.0,20.0,Jacolby George,Miami (FL),415,2023-24,9,"[1, 2, 3, 4, 6, 8, 9, 10, 12]","['09/01/2023', '09/09/2023', '09/14/2023', '09/23/2023', '10/14/2023', '10/28/2023', '11/04/2023', '11/11/2023', '11/24/2023']","['Miami (OH)', 'Texas A&M', 'Bethune-Cookman', 'Temple', 'North Carolina', 'Virginia', 'NC State', 'Florida St.', 'Boston College']","[6.0, 5.0, 5.0, 5.0, 6.0, 5.0, 5.0, 5.0, 6.0]"
48.0,10.0,Xavier Restrepo,Miami (FL),415,2023-24,10,"[1, 2, 3, 4, 5, 6, 7, 11, 12, 13]","['09/01/2023', '09/09/2023', '09/14/2023', '09/23/2023', '10/07/2023', '10/14/2023', '10/21/2023', '11/18/2023', '11/24/2023', '12/28/2023']","['Miami (OH)', 'Texas A&M', 'Bethune-Cookman', 'Temple', 'Georgia Tech', 'North Carolina', 'Clemson', 'Louisville', 'Boston College', 'Rutgers']","[5.0, 6.0, 6.0, 7.0, 12.0, 11.0, 7.0, 8.0, 6.0, 11.0]"
2185.0,380.0,Isaiah Horton,Miami (FL),415,2023-24,1,[13],['12/28/2023'],['Rutgers'],[5.0]
783.0,126.0,Colbie Young,Miami (FL),415,2023-24,4,"[2, 3, 7, 11]","['09/09/2023', '09/14/2023', '10/21/2023', '11/18/2023']","['Texas A&M', 'Bethune-Cookman', 'Clemson', 'Louisville']","[6.0, 5.0, 6.0, 6.0]"
2185.0,380.0,Brashard Smith,Miami (FL),415,2023-24,1,[7],['10/21/2023'],['Clemson'],[5.0]
1107.0,183.0,Maliq Carr,Michigan St.,416,2023-24,3,"[1, 5, 8]","['09/30/2023', '11/18/2023', '09/23/2023']","['Iowa', 'Indiana', 'Maryland']","[6.0, 7.0, 5.0]"
2185.0,380.0,Jaren Mangham,Michigan St.,416,2023-24,1,[5],['11/18/2023'],['Indiana'],[5.0]
783.0,126.0,Montorie Foster Jr.,Michigan St.,416,2023-24,4,"[1, 5, 6, 8]","['09/30/2023', '11/18/2023', '10/14/2023', '09/23/2023']","['Iowa', 'Indiana', 'Rutgers', 'Maryland']","[8.0, 7.0, 5.0, 6.0]"
1528.0,263.0,Nate Carter,Michigan St.,416,2023-24,2,"[3, 8]","['10/28/2023', '09/23/2023']","['Minnesota', 'Maryland']","[5.0, 5.0]"
1528.0,263.0,Tre Mosley,Michigan St.,416,2023-24,2,"[6, 7]","['10/14/2023', '09/09/2023']","['Rutgers', 'Richmond']","[6.0, 5.0]"
2185.0,380.0,Donovan Edwards,Michigan,418,2023-24,1,[11],['09/09/2023'],['UNLV'],[5.0]
1107.0,183.0,Cornelius Johnson,Michigan,418,2023-24,3,"[10, 11, 13]","['09/02/2023', '09/09/2023', '12/02/2023']","['East Carolina', 'UNLV', 'Iowa']","[5.0, 5.0, 9.0]"
1528.0,263.0,Roman Wilson,Michigan,418,2023-24,2,"[3, 10]","['11/04/2023', '09/02/2023']","['Purdue', 'East Carolina']","[9.0, 6.0]"
1528.0,263.0,Colston Loveland,Michigan,418,2023-24,2,"[1, 6]","['11/25/2023', '09/23/2023']","['Ohio St.', 'Rutgers']","[5.0, 5.0]"
2185.0,380.0,AJ Barner,Michigan,418,2023-24,1,[9],['10/21/2023'],['Michigan St.'],[8.0]
2185.0,380.0,Jaiden Credle,Middle Tenn.,419,2023-24,1,[5],['09/28/2023'],['Western Ky.'],[5.0]
783.0,126.0,Holden Willis,Middle Tenn.,419,2023-24,4,"[4, 5, 11, 12]","['09/23/2023', '09/28/2023', '11/18/2023', '11/25/2023']","['Colorado St.', 'Western Ky.', 'UTEP', 'Sam Houston']","[9.0, 6.0, 6.0, 5.0]"
2185.0,380.0,DJ England-Chisolm,Middle Tenn.,419,2023-24,1,[12],['11/25/2023'],['Sam Houston'],[5.0]
1528.0,263.0,Javonte Sherman,Middle Tenn.,419,2023-24,2,"[3, 12]","['09/16/2023', '11/25/2023']","['Murray St.', 'Sam Houston']","[5.0, 7.0]"
783.0,126.0,Justin Olson,Middle Tenn.,419,2023-24,4,"[5, 6, 8, 9]","['09/28/2023', '10/04/2023', '10/17/2023', '11/04/2023']","['Western Ky.', 'Jacksonville St.', 'Liberty', 'New Mexico St.']","[6.0, 9.0, 6.0, 6.0]"
565.0,88.0,Elijah Metcalf,Middle Tenn.,419,2023-24,5,"[2, 4, 5, 8, 9]","['09/09/2023', '09/23/2023', '09/28/2023', '10/17/2023', '11/04/2023']","['Missouri', 'Colorado St.', 'Western Ky.', 'Liberty', 'New Mexico St.']","[5.0, 11.0, 5.0, 5.0, 5.0]"
1528.0,263.0,Zack Dobson,Middle Tenn.,419,2023-24,2,"[7, 12]","['10/10/2023', '11/25/2023']","['Louisiana Tech', 'Sam Houston']","[6.0, 5.0]"
2185.0,380.0,Corey Crooms,Minnesota,428,2023-24,1,[5],['08/31/2023'],['Nebraska'],[7.0]
391.0,62.0,Daniel Jackson,Minnesota,428,2023-24,6,"[1, 2, 5, 8, 10, 12]","['11/25/2023', '10/21/2023', '08/31/2023', '09/30/2023', '10/28/2023', '11/11/2023']","['Wisconsin', 'Iowa', 'Nebraska', 'Louisiana', 'Michigan St.', 'Purdue']","[9.0, 7.0, 9.0, 5.0, 7.0, 7.0]"
1528.0,263.0,Brevyn Spann-Ford,Minnesota,428,2023-24,2,"[5, 12]","['08/31/2023', '11/11/2023']","['Nebraska', 'Purdue']","[5.0, 5.0]"
783.0,126.0,Zavion Thomas,Mississippi St.,430,2023-24,4,"[4, 8, 9, 12]","['09/23/2023', '10/28/2023', '11/04/2023', '11/23/2023']","['South Carolina', 'Auburn', 'Kentucky', 'Ole Miss']","[5.0, 9.0, 6.0, 6.0]"
783.0,126.0,Lideatrick Griffin,Mississippi St.,430,2023-24,4,"[2, 4, 5, 12]","['09/09/2023', '09/23/2023', '09/30/2023', '11/23/2023']","['Arizona', 'South Carolina', 'Alabama', 'Ole Miss']","[5.0, 7.0, 5.0, 5.0]"
2185.0,380.0,Freddie Roberson,Mississippi St.,430,2023-24,1,[6],['10/07/2023'],['Western Mich.'],[5.0]
2185.0,380.0,Justin Robinson,Mississippi St.,430,2023-24,1,[4],['09/23/2023'],['South Carolina'],[6.0]
2185.0,380.0,Jo'quavious Marks,Mississippi St.,430,2023-24,1,[4],['09/23/2023'],['South Carolina'],[5.0]
565.0,88.0,Dayton Wade,Ole Miss,433,2023-24,5,"[2, 4, 5, 8, 11]","['09/09/2023', '09/23/2023', '09/30/2023', '10/28/2023', '11/18/2023']","['Tulane', 'Alabama', 'LSU', 'Vanderbilt', 'ULM']","[7.0, 5.0, 7.0, 8.0, 7.0]"
268.0,48.0,Jordan Watkins,Ole Miss,433,2023-24,7,"[1, 2, 4, 5, 6, 9, 11]","['09/02/2023', '09/09/2023', '09/23/2023', '09/30/2023', '10/07/2023', '11/04/2023', '11/18/2023']","['Mercer', 'Tulane', 'Alabama', 'LSU', 'Arkansas', 'Texas A&M', 'ULM']","[6.0, 5.0, 9.0, 5.0, 7.0, 5.0, 6.0]"
1528.0,263.0,Caden Prieskorn,Ole Miss,433,2023-24,2,"[11, 13]","['11/18/2023', '12/30/2023']","['ULM', 'Penn St.']","[6.0, 10.0]"
565.0,88.0,Tre Harris,Ole Miss,433,2023-24,5,"[1, 5, 8, 9, 13]","['09/02/2023', '09/30/2023', '10/28/2023', '11/04/2023', '12/30/2023']","['Mercer', 'LSU', 'Vanderbilt', 'Texas A&M', 'Penn St.']","[6.0, 8.0, 6.0, 11.0, 7.0]"
108.0,20.0,Luther Burden,Missouri,434,2023-24,9,"[1, 2, 3, 4, 5, 6, 8, 11, 12]","['08/31/2023', '09/09/2023', '09/16/2023', '09/23/2023', '09/30/2023', '10/07/2023', '10/21/2023', '11/18/2023', '11/24/2023']","['South Dakota', 'Middle Tenn.', 'Kansas St.', 'Memphis', 'Vanderbilt', 'LSU', 'South Carolina', 'Florida', 'Arkansas']","[7.0, 8.0, 7.0, 10.0, 11.0, 11.0, 5.0, 9.0, 6.0]"
783.0,126.0,Theo Wease,Missouri,434,2023-24,4,"[3, 5, 7, 9]","['09/16/2023', '09/30/2023', '10/14/2023', '11/04/2023']","['Kansas St.', 'Vanderbilt', 'Kentucky', 'Georgia']","[6.0, 10.0, 6.0, 5.0]"
2185.0,380.0,Cody Schrader,Missouri,434,2023-24,1,[10],['11/11/2023'],['Tennessee'],[5.0]
1107.0,183.0,Mookie Cooper,Missouri,434,2023-24,3,"[5, 6, 8]","['09/30/2023', '10/07/2023', '10/21/2023']","['Vanderbilt', 'LSU', 'South Carolina']","[5.0, 7.0, 6.0]"
2185.0,380.0,John Copenhaver,North Carolina,457,2023-24,1,[12],['11/25/2023'],['NC State'],[5.0]
1528.0,263.0,Kobe Paysour,North Carolina,457,2023-24,2,"[2, 3]","['09/02/2023', '09/09/2023']","['South Carolina', 'App State']","[7.0, 8.0]"
2185.0,380.0,British Brooks,North Carolina,457,2023-24,1,[12],['11/25/2023'],['NC State'],[6.0]
