Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Pass Yards
42.0,6.0,Blake LaRussa,Old Dominion,523,2018-19,3,"[8, 9, 10]","['10/20/2018', '10/27/2018', '11/10/2018']","['Western Ky.', 'Middle Tenn.', 'North Texas']","[327.0, 333.0, 301.0]"
85.0,13.0,Jake Luton,Oregon St.,528,2018-19,2,"[8, 9]","['10/27/2018', '11/03/2018']","['Colorado', 'Southern California']","[310.0, 301.0]"
85.0,13.0,Justin Herbert,Oregon,529,2018-19,2,"[3, 4]","['09/15/2018', '09/22/2018']","['San Jose St.', 'Stanford']","[309.0, 346.0]"
263.0,47.0,Kenny Pickett,Pittsburgh,545,2018-19,1,[11],['11/17/2018'],['Wake Forest'],[316.0]
42.0,6.0,David Blough,Purdue,559,2018-19,3,"[5, 6, 7]","['09/29/2018', '10/13/2018', '10/20/2018']","['Nebraska', 'Illinois', 'Ohio St.']","[328.0, 377.0, 378.0]"
263.0,47.0,Wiley Green,Rice,574,2018-19,1,[10],['11/03/2018'],['UTEP'],[313.0]
263.0,47.0,Michael Carrillo,San Jose St.,630,2018-19,1,[12],['11/24/2018'],['Fresno St.'],[302.0]
263.0,47.0,Josh Love,San Jose St.,630,2018-19,1,[8],['10/27/2018'],['UNLV'],[335.0]
263.0,47.0,Evan Orth,South Alabama,646,2018-19,1,[4],['09/22/2018'],['Memphis'],[360.0]
85.0,13.0,Jake Bentley,South Carolina,648,2018-19,2,"[10, 11]","['11/17/2018', '11/24/2018']","['Chattanooga', 'Clemson']","[339.0, 510.0]"
263.0,47.0,Blake Barnett,South Fla.,651,2018-19,1,[9],['11/03/2018'],['Tulane'],[338.0]
85.0,13.0,JT Daniels,Southern California,657,2018-19,2,"[11, 12]","['11/17/2018', '11/24/2018']","['UCLA', 'Notre Dame']","[337.0, 349.0]"
85.0,13.0,Ben Hicks,SMU,663,2018-19,2,"[11, 12]","['11/16/2018', '11/24/2018']","['Memphis', 'Tulsa']","[344.0, 319.0]"
