Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Rushing Yards
336.0,32.0,Harrison Waylee,NIU,503,2020-21,3,"[1, 3, 7]","['12/12/2020', '12/05/2020', '12/12/2020']","['Eastern Mich.', 'Toledo', 'Eastern Mich.']","[122.0, 114.0, 122.0]"
860.0,121.0,Evan Hull,Northwestern,509,2020-21,1,[3],['12/12/2020'],['Illinois'],[149.0]
860.0,121.0,Drake Anderson,Northwestern,509,2020-21,1,[7],['10/24/2020'],['Maryland'],[103.0]
860.0,121.0,Cam Porter,Northwestern,509,2020-21,1,[3],['12/12/2020'],['Illinois'],[142.0]
48.0,3.0,Kyren Williams,Notre Dame,513,2020-21,7,"[1, 5, 6, 9, 10, 11, 14]","['10/10/2020', '11/27/2020', '12/05/2020', '10/17/2020', '10/10/2020', '11/07/2020', '09/12/2020']","['Florida St.', 'North Carolina', 'Syracuse', 'Louisville', 'Florida St.', 'Clemson', 'Duke']","[185.0, 124.0, 110.0, 127.0, 185.0, 140.0, 112.0]"
336.0,32.0,Chris Tyree,Notre Dame,513,2020-21,3,"[1, 6, 10]","['10/10/2020', '12/05/2020', '10/10/2020']","['Florida St.', 'Syracuse', 'Florida St.']","[103.0, 109.0, 103.0]"
548.0,73.0,C'Bo Flemister,Notre Dame,513,2020-21,2,"[7, 8]","['09/19/2020', '09/19/2020']","['South Fla.', 'South Fla.']","[127.0, 127.0]"
860.0,121.0,Justin Fields,Ohio St.,518,2020-21,1,[5],['12/05/2020'],['Michigan St.'],[104.0]
548.0,73.0,Master Teague,Ohio St.,518,2020-21,2,"[2, 4]","['10/31/2020', '11/21/2020']","['Penn St.', 'Indiana']","[110.0, 169.0]"
336.0,32.0,Trey Sermon,Ohio St.,518,2020-21,3,"[5, 6, 8]","['12/05/2020', '12/19/2020', '01/01/2021']","['Michigan St.', 'Northwestern', 'Clemson']","[112.0, 331.0, 193.0]"
548.0,73.0,De'Montre Tuggle,Ohio,519,2020-21,2,"[1, 3]","['11/10/2020', '11/28/2020']","['Akron', 'Bowling Green']","[139.0, 185.0]"
336.0,32.0,Dezmon Jackson,Oklahoma St.,521,2020-21,3,"[9, 10, 13]","['11/28/2020', '12/05/2020', '11/28/2020']","['Texas Tech', 'TCU', 'Texas Tech']","[235.0, 118.0, 235.0]"
860.0,121.0,Dominic Richardson,Oklahoma St.,521,2020-21,1,[4],['12/12/2020'],['Baylor'],[169.0]
336.0,32.0,LD Brown,Oklahoma St.,521,2020-21,3,"[2, 7, 11]","['09/26/2020', '11/07/2020', '09/26/2020']","['West Virginia', 'Kansas St.', 'West Virginia']","[103.0, 110.0, 103.0]"
222.0,19.0,Chuba Hubbard,Oklahoma St.,521,2020-21,4,"[2, 3, 5, 11]","['09/26/2020', '10/03/2020', '10/24/2020', '09/26/2020']","['West Virginia', 'Kansas', 'Iowa St.', 'West Virginia']","[101.0, 145.0, 139.0, 101.0]"
860.0,121.0,Marcus Major,Oklahoma,522,2020-21,1,[11],['12/30/2020'],['Florida'],[110.0]
548.0,73.0,T.J. Pledger,Oklahoma,522,2020-21,2,"[4, 9]","['10/10/2020', '10/24/2020']","['Texas', 'TCU']","[131.0, 122.0]"
336.0,32.0,Rhamondre Stevenson,Oklahoma,522,2020-21,3,"[6, 7, 11]","['11/07/2020', '11/21/2020', '12/30/2020']","['Kansas', 'Oklahoma St.', 'Florida']","[104.0, 141.0, 186.0]"
141.0,12.0,Jermar Jefferson,Oregon St.,528,2020-21,5,"[1, 2, 4, 5, 7]","['11/21/2020', '11/27/2020', '11/07/2020', '11/14/2020', '12/19/2020']","['California', 'Oregon', 'Washington St.', 'Washington', 'Arizona St.']","[196.0, 226.0, 120.0, 133.0, 103.0]"
548.0,73.0,CJ Verdell,Oregon,529,2020-21,2,"[4, 5]","['11/14/2020', '11/07/2020']","['Washington St.', 'Stanford']","[118.0, 105.0]"
860.0,121.0,Sean Clifford,Penn St.,539,2020-21,1,[3],['10/24/2020'],['Indiana'],[119.0]
860.0,121.0,Keyvone Lee,Penn St.,539,2020-21,1,[7],['11/28/2020'],['Michigan'],[134.0]
860.0,121.0,Vincent Davis,Pittsburgh,545,2020-21,1,[8],['12/10/2020'],['Georgia Tech'],[247.0]
336.0,32.0,Zander Horvath,Purdue,559,2020-21,3,"[1, 5, 6]","['10/24/2020', '11/28/2020', '10/31/2020']","['Iowa', 'Rutgers', 'Illinois']","[129.0, 101.0, 102.0]"
860.0,121.0,Juma Otoviano,Rice,574,2020-21,1,[3],['10/31/2020'],['Southern Miss.'],[111.0]
860.0,121.0,Isaih Pacheco,Rutgers,587,2020-21,1,[7],['11/14/2020'],['Illinois'],[133.0]
222.0,19.0,Greg Bell,San Diego St.,626,2020-21,4,"[1, 3, 5, 6]","['11/14/2020', '10/24/2020', '10/31/2020', '11/06/2020']","['Hawaii', 'UNLV', 'Utah St.', 'San Jose St.']","[160.0, 111.0, 157.0, 109.0]"
548.0,73.0,Tyler Nevens,San Jose St.,630,2020-21,2,"[1, 3]","['12/05/2020', '12/11/2020']","['Hawaii', 'Nevada']","[152.0, 184.0]"
860.0,121.0,Kairee Robinson,San Jose St.,630,2020-21,1,[1],['12/05/2020'],['Hawaii'],[111.0]
548.0,73.0,Carlos Davis,South Alabama,646,2020-21,2,"[3, 5]","['09/24/2020', '10/17/2020']","['UAB', 'Texas St.']","[105.0, 113.0]"
141.0,12.0,Kevin Harris,South Carolina,648,2020-21,5,"[2, 3, 5, 7, 10]","['10/03/2020', '10/10/2020', '10/24/2020', '11/14/2020', '12/05/2020']","['Florida', 'Vanderbilt', 'LSU', 'Ole Miss', 'Kentucky']","[100.0, 171.0, 126.0, 243.0, 210.0]"
860.0,121.0,Kelley Joiner,South Fla.,651,2020-21,1,[8],['11/27/2020'],['UCF'],[116.0]
860.0,121.0,Brian Battie,South Fla.,651,2020-21,1,[8],['11/27/2020'],['UCF'],[102.0]
860.0,121.0,Vavae Malepeai,Southern California,657,2020-21,1,[5],['12/12/2020'],['UCLA'],[110.0]
222.0,19.0,Ulysses Bentley IV,SMU,663,2020-21,4,"[2, 3, 7, 9]","['09/19/2020', '09/26/2020', '10/31/2020', '11/14/2020']","['North Texas', 'SFA', 'Navy', 'Tulsa']","[227.0, 104.0, 149.0, 103.0]"
548.0,73.0,TJ McDaniel,SMU,663,2020-21,2,"[1, 3]","['09/05/2020', '09/26/2020']","['Texas St.', 'SFA']","[130.0, 104.0]"
336.0,32.0,Frank Gore,Southern Miss.,664,2020-21,3,"[4, 5, 8]","['10/03/2020', '12/10/2020', '11/07/2020']","['North Texas', 'Fla. Atlantic', 'North Ala.']","[130.0, 111.0, 103.0]"
860.0,121.0,Calvin Hill,Texas St.,670,2020-21,1,[1],['09/05/2020'],['SMU'],[100.0]
860.0,121.0,Jahmyl Jeter,Texas St.,670,2020-21,1,[7],['11/07/2020'],['App State'],[135.0]
860.0,121.0,Brock Sturges,Texas St.,670,2020-21,1,[6],['10/31/2020'],['Louisiana'],[128.0]
548.0,73.0,Elijah Mitchell,Louisiana,671,2020-21,2,"[2, 11]","['09/19/2020', '12/26/2020']","['Georgia St.', 'UTSA']","[164.0, 127.0]"
860.0,121.0,Trey Ragas,Louisiana,671,2020-21,1,[7],['10/31/2020'],['Texas St.'],[131.0]
336.0,32.0,Austin Jones,Stanford,674,2020-21,3,"[3, 4, 5]","['12/12/2020', '11/07/2020', '12/05/2020']","['Oregon St.', 'Oregon', 'Washington']","[126.0, 100.0, 138.0]"
860.0,121.0,Cooper Lutz,Syracuse,688,2020-21,1,[11],['12/05/2020'],['Notre Dame'],[114.0]
336.0,32.0,Sean Tucker,Syracuse,688,2020-21,3,"[3, 5, 11]","['09/26/2020', '10/17/2020', '12/05/2020']","['Georgia Tech', 'Liberty', 'Notre Dame']","[112.0, 111.0, 101.0]"
860.0,121.0,Ray Davis,Temple,690,2020-21,1,[3],['10/24/2020'],['Memphis'],[113.0]
222.0,19.0,Eric Gray,Tennessee,694,2020-21,4,"[2, 4, 6, 8]","['10/03/2020', '10/17/2020', '11/07/2020', '11/21/2020']","['Missouri', 'Kentucky', 'Arkansas', 'Auburn']","[105.0, 128.0, 123.0, 173.0]"
860.0,121.0,Devon Achane,Texas A&M,697,2020-21,1,[10],['01/02/2021'],['North Carolina'],[140.0]
95.0,7.0,Isaiah Spiller,Texas A&M,697,2020-21,6,"[1, 3, 4, 6, 8, 9]","['09/26/2020', '10/10/2020', '10/17/2020', '11/07/2020', '11/28/2020', '12/05/2020']","['Vanderbilt', 'Florida', 'Mississippi St.', 'South Carolina', 'LSU', 'Auburn']","[117.0, 174.0, 114.0, 131.0, 134.0, 120.0]"
860.0,121.0,Darwin Barlow,TCU,698,2020-21,1,[3],['10/31/2020'],['Baylor'],[117.0]
548.0,73.0,Max Duggan,TCU,698,2020-21,2,"[4, 7]","['11/07/2020', '12/05/2020']","['Texas Tech', 'Oklahoma St.']","[154.0, 104.0]"
548.0,73.0,Zach Evans,TCU,698,2020-21,2,"[6, 11]","['11/28/2020', '12/12/2020']","['Kansas', 'Louisiana Tech']","[100.0, 130.0]"
860.0,121.0,Kendre Miller,TCU,698,2020-21,1,[11],['12/12/2020'],['Louisiana Tech'],[136.0]
548.0,73.0,Xavier White,Texas Tech,700,2020-21,2,"[3, 10]","['10/03/2020', '12/05/2020']","['Kansas St.', 'Kansas']","[113.0, 135.0]"
222.0,19.0,SaRodorick Thompson,Texas Tech,700,2020-21,4,"[1, 2, 9, 11]","['09/12/2020', '09/26/2020', '11/28/2020', '11/28/2020']","['Houston Christian', 'Texas', 'Oklahoma St.', 'Oklahoma St.']","[118.0, 104.0, 133.0, 133.0]"
860.0,121.0,Sam Ehlinger,Texas,703,2020-21,1,[4],['10/10/2020'],['Oklahoma'],[112.0]
336.0,32.0,Bijan Robinson,Texas,703,2020-21,3,"[7, 9, 10]","['11/07/2020', '12/05/2020', '12/29/2020']","['West Virginia', 'Kansas St.', 'Colorado']","[113.0, 172.0, 183.0]"
860.0,121.0,Roschon Johnson,Texas,703,2020-21,1,[9],['12/05/2020'],['Kansas St.'],[139.0]
860.0,121.0,Calvin Brownholtz,UTEP,704,2020-21,1,[7],['12/11/2020'],['North Texas'],[114.0]
336.0,32.0,Deion Hankins,UTEP,704,2020-21,3,"[1, 4, 6]","['09/05/2020', '09/26/2020', '10/24/2020']","['SFA', 'ULM', 'Charlotte']","[113.0, 118.0, 119.0]"
48.0,3.0,Sincere McCormick,UTSA,706,2020-21,7,"[1, 4, 5, 6, 9, 10, 13]","['09/12/2020', '10/03/2020', '10/17/2020', '10/24/2020', '11/21/2020', '11/28/2020', '12/26/2020']","['Texas St.', 'UAB', 'Army West Point', 'Louisiana Tech', 'Southern Miss.', 'North Texas', 'Louisiana']","[197.0, 150.0, 133.0, 165.0, 173.0, 251.0, 122.0]"
860.0,121.0,Brenden Brady,UTSA,706,2020-21,1,[8],['11/14/2020'],['UTEP'],[124.0]
548.0,73.0,Frank Harris,UTSA,706,2020-21,2,"[2, 10]","['09/19/2020', '11/28/2020']","['SFA', 'North Texas']","[104.0, 113.0]"
548.0,73.0,Bryant Koback,Toledo,709,2020-21,2,"[5, 6]","['12/12/2020', '11/18/2020']","['Central Mich.', 'Eastern Mich.']","[123.0, 149.0]"
548.0,73.0,Kimani Vidal,Troy,716,2020-21,2,"[4, 5]","['10/10/2020', '10/17/2020']","['Texas St.', 'Eastern Ky.']","[106.0, 143.0]"
336.0,32.0,Cam Carroll,Tulane,718,2020-21,3,"[3, 8, 12]","['09/26/2020', '11/07/2020', '12/22/2020']","['Southern Miss.', 'East Carolina', 'Nevada']","[163.0, 129.0, 120.0]"
336.0,32.0,Stephon Huderson,Tulane,718,2020-21,3,"[3, 5, 10]","['09/26/2020', '10/16/2020', '11/19/2020']","['Southern Miss.', 'SMU', 'Tulsa']","[117.0, 132.0, 106.0]"
548.0,73.0,Tyjae Spears,Tulane,718,2020-21,2,"[1, 2]","['09/12/2020', '09/19/2020']","['South Alabama', 'Navy']","[105.0, 119.0]"
860.0,121.0,Deneric Prince,Tulsa,719,2020-21,1,[3],['10/23/2020'],['South Fla.'],[109.0]
548.0,73.0,Corey Taylor II,Tulsa,719,2020-21,2,"[7, 9]","['11/19/2020', '12/19/2020']","['Tulane', 'Cincinnati']","[132.0, 102.0]"
860.0,121.0,Timothy Jackson,Air Force,721,2020-21,1,[1],['10/03/2020'],['Navy'],[118.0]
860.0,121.0,Brandon Lewis,Air Force,721,2020-21,1,[3],['10/31/2020'],['Boise St.'],[112.0]
548.0,73.0,Brad Roberts,Air Force,721,2020-21,2,"[1, 4]","['10/03/2020', '11/20/2020']","['Navy', 'New Mexico']","[103.0, 177.0]"
860.0,121.0,Kadin Remsberg,Air Force,721,2020-21,1,[5],['12/03/2020'],['Utah St.'],[107.0]
860.0,121.0,Jakobi Buchanan,Army West Point,725,2020-21,1,[2],['09/12/2020'],['ULM'],[106.0]
860.0,121.0,Tyrell Robinson,Army West Point,725,2020-21,1,[3],['10/03/2020'],['Abilene Christian'],[126.0]
860.0,121.0,Jemel Jones,Army West Point,725,2020-21,1,[3],['10/03/2020'],['Abilene Christian'],[138.0]
860.0,121.0,Tyhier Tyler,Army West Point,725,2020-21,1,[9],['11/21/2020'],['Ga. Southern'],[121.0]
860.0,121.0,Anthony Adkins,Army West Point,725,2020-21,1,[5],['10/17/2020'],['UTSA'],[101.0]
336.0,32.0,Nelson Smith,Navy,726,2020-21,3,"[3, 5, 9]","['10/10/2020', '10/17/2020', '11/28/2020']","['Temple', 'East Carolina', 'Memphis']","[120.0, 157.0, 142.0]"
860.0,121.0,Xavier Arline,Navy,726,2020-21,1,[10],['12/12/2020'],['Army West Point'],[109.0]
860.0,121.0,Jamale Carothers,Navy,726,2020-21,1,[2],['09/19/2020'],['Tulane'],[127.0]
860.0,121.0,Jaylen Warren,Utah St.,731,2020-21,1,[2],['11/14/2020'],['Fresno St.'],[136.0]
