Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Rushing Yards
523.0,94.0,Frank Gore,Southern Miss.,664,2021-22,1,[10],['11/13/2021'],['UTSA'],[123.0]
199.0,34.0,Dajon Richard,Southern Miss.,664,2021-22,2,"[11, 12]","['11/19/2021', '11/27/2021']","['Louisiana Tech', 'FIU']","[120.0, 107.0]"
199.0,34.0,Calvin Hill,Texas St.,670,2021-22,2,"[11, 12]","['11/20/2021', '11/27/2021']","['Coastal Carolina', 'Arkansas St.']","[100.0, 123.0]"
523.0,94.0,Chris Smith,Louisiana,671,2021-22,1,[10],['11/13/2021'],['Troy'],[102.0]
523.0,94.0,Emani Bailey,Louisiana,671,2021-22,1,[13],['12/04/2021'],['App State'],[117.0]
199.0,34.0,Montrell Johnson Jr.,Louisiana,671,2021-22,2,"[6, 7]","['10/12/2021', '10/21/2021']","['App State', 'Arkansas St.']","[103.0, 150.0]"
523.0,94.0,Nathaniel Peat,Stanford,674,2021-22,1,[2],['09/11/2021'],['Southern California'],[115.0]
199.0,34.0,Garrett Shrader,Syracuse,688,2021-22,2,"[5, 6]","['10/02/2021', '10/09/2021']","['Florida St.', 'Wake Forest']","[137.0, 178.0]"
11.0,2.0,Sean Tucker,Syracuse,688,2021-22,7,"[3, 4, 5, 6, 7, 8, 9]","['09/18/2021', '09/24/2021', '10/02/2021', '10/09/2021', '10/15/2021', '10/23/2021', '10/30/2021']","['UAlbany', 'Liberty', 'Florida St.', 'Wake Forest', 'Clemson', 'Virginia Tech', 'Boston College']","[132.0, 169.0, 102.0, 153.0, 157.0, 112.0, 207.0]"
523.0,94.0,Jaylen Wright,Tennessee,694,2021-22,1,[12],['11/27/2021'],['Vanderbilt'],[112.0]
199.0,34.0,Tiyon Evans,Tennessee,694,2021-22,2,"[5, 6]","['10/02/2021', '10/09/2021']","['Missouri', 'South Carolina']","[156.0, 119.0]"
199.0,34.0,Jabari Small,Tennessee,694,2021-22,2,"[12, 13]","['11/27/2021', '12/30/2021']","['Vanderbilt', 'Purdue']","[103.0, 180.0]"
523.0,94.0,Hendon Hooker,Tennessee,694,2021-22,1,[7],['10/16/2021'],['Ole Miss'],[108.0]
199.0,34.0,Devon Achane,Texas A&M,697,2021-22,2,"[7, 8]","['10/16/2021', '10/23/2021']","['Missouri', 'South Carolina']","[124.0, 154.0]"
96.0,18.0,Isaiah Spiller,Texas A&M,697,2021-22,3,"[7, 8, 9]","['10/16/2021', '10/23/2021', '11/06/2021']","['Missouri', 'South Carolina', 'Auburn']","[168.0, 102.0, 112.0]"
523.0,94.0,Emari Demercado,TCU,698,2021-22,1,[13],['11/13/2021'],['Oklahoma St.'],[115.0]
