Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Receiving Yards
2169.0,402.0,Deion Colzie,Notre Dame,513,2022-23,2,"[10, 12]","['11/12/2022', '11/26/2022']","['Navy', 'Southern California']","[50.0, 75.0]"
35.0,5.0,Marvin Harrison Jr.,Ohio St.,518,2022-23,11,"[1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13]","['09/03/2022', '09/10/2022', '09/17/2022', '10/08/2022', '10/22/2022', '10/29/2022', '11/05/2022', '11/12/2022', '11/19/2022', '11/26/2022', '12/31/2022']","['Notre Dame', 'Arkansas St.', 'Toledo', 'Michigan St.', 'Iowa', 'Penn St.', 'Northwestern', 'Indiana', 'Maryland', 'Michigan', 'Georgia']","[56.0, 184.0, 102.0, 131.0, 62.0, 185.0, 51.0, 135.0, 68.0, 120.0, 106.0]"
35.0,5.0,Emeka Egbuka,Ohio St.,518,2022-23,11,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13]","['09/03/2022', '09/10/2022', '09/17/2022', '09/24/2022', '10/01/2022', '10/08/2022', '10/22/2022', '10/29/2022', '11/19/2022', '11/26/2022', '12/31/2022']","['Notre Dame', 'Arkansas St.', 'Toledo', 'Wisconsin', 'Rutgers', 'Michigan St.', 'Iowa', 'Penn St.', 'Maryland', 'Michigan', 'Georgia']","[90.0, 118.0, 116.0, 118.0, 70.0, 143.0, 80.0, 53.0, 82.0, 125.0, 112.0]"
3023.0,536.0,Jayden Ballard,Ohio St.,518,2022-23,1,[3],['09/17/2022'],['Toledo'],[113.0]
861.0,156.0,Julian Fleming,Ohio St.,518,2022-23,5,"[4, 5, 6, 7, 13]","['09/24/2022', '10/01/2022', '10/08/2022', '10/22/2022', '12/31/2022']","['Wisconsin', 'Rutgers', 'Michigan St.', 'Iowa', 'Georgia']","[67.0, 51.0, 81.0, 105.0, 71.0]"
1593.0,300.0,Cade Stover,Ohio St.,518,2022-23,3,"[3, 4, 8]","['09/17/2022', '09/24/2022', '10/29/2022']","['Toledo', 'Wisconsin', 'Penn St.']","[83.0, 51.0, 78.0]"
3023.0,536.0,Tyler Walton,Ohio,519,2022-23,1,[1],['09/03/2022'],['Fla. Atlantic'],[64.0]
611.0,117.0,Jacoby Jones,Ohio,519,2022-23,6,"[4, 6, 9, 10, 11, 12]","['09/24/2022', '10/08/2022', '11/01/2022', '11/08/2022', '11/15/2022', '11/22/2022']","['Fordham', 'Akron', 'Buffalo', 'Miami (OH)', 'Ball St.', 'Bowling Green']","[104.0, 121.0, 67.0, 79.0, 87.0, 96.0]"
3023.0,536.0,Tyler Foster,Ohio,519,2022-23,1,[4],['09/24/2022'],['Fordham'],[77.0]
861.0,156.0,Miles Cross,Ohio,519,2022-23,5,"[3, 4, 5, 7, 10]","['09/17/2022', '09/24/2022', '10/01/2022', '10/15/2022', '11/08/2022']","['Iowa St.', 'Fordham', 'Kent St.', 'Western Mich.', 'Miami (OH)']","[54.0, 52.0, 63.0, 52.0, 133.0]"
254.0,41.0,Sam Wiglusz,Ohio,519,2022-23,8,"[1, 4, 5, 6, 7, 8, 9, 11]","['09/03/2022', '09/24/2022', '10/01/2022', '10/08/2022', '10/15/2022', '10/22/2022', '11/01/2022', '11/15/2022']","['Fla. Atlantic', 'Fordham', 'Kent St.', 'Akron', 'Western Mich.', 'NIU', 'Buffalo', 'Ball St.']","[59.0, 73.0, 115.0, 144.0, 76.0, 69.0, 131.0, 80.0]"
3023.0,536.0,Nolan McCormick,Ohio,519,2022-23,1,[4],['09/24/2022'],['Fordham'],[81.0]
1176.0,212.0,James Bostic,Ohio,519,2022-23,4,"[1, 4, 7, 10]","['09/03/2022', '09/24/2022', '10/15/2022', '11/08/2022']","['Fla. Atlantic', 'Fordham', 'Western Mich.', 'Miami (OH)']","[136.0, 90.0, 50.0, 83.0]"
151.0,23.0,Brennan Presley,Oklahoma St.,521,2022-23,9,"[1, 3, 4, 5, 7, 9, 11, 12, 13]","['09/01/2022', '09/17/2022', '10/01/2022', '10/08/2022', '10/22/2022', '11/05/2022', '11/19/2022', '11/26/2022', '12/27/2022']","['Central Mich.', 'Ark.-Pine Bluff', 'Baylor', 'Texas Tech', 'Texas', 'Kansas', 'Oklahoma', 'West Virginia', 'Wisconsin']","[83.0, 60.0, 86.0, 62.0, 60.0, 59.0, 118.0, 77.0, 74.0]"
861.0,156.0,JP Richardson,Oklahoma St.,521,2022-23,5,"[1, 5, 6, 7, 10]","['09/01/2022', '10/08/2022', '10/15/2022', '10/22/2022', '11/12/2022']","['Central Mich.', 'Texas Tech', 'TCU', 'Texas', 'Iowa St.']","[73.0, 50.0, 51.0, 63.0, 90.0]"
1176.0,212.0,Bryson Green,Oklahoma St.,521,2022-23,4,"[2, 5, 7, 9]","['09/10/2022', '10/08/2022', '10/22/2022', '11/05/2022']","['Arizona St.', 'Texas Tech', 'Texas', 'Kansas']","[83.0, 115.0, 133.0, 105.0]"
3023.0,536.0,Langston Anderson,Oklahoma St.,521,2022-23,1,[9],['11/05/2022'],['Kansas'],[61.0]
3023.0,536.0,Jaden Nixon,Oklahoma St.,521,2022-23,1,[11],['11/19/2022'],['Oklahoma'],[50.0]
3023.0,536.0,Dominic Richardson,Oklahoma St.,521,2022-23,1,[6],['10/15/2022'],['TCU'],[79.0]
1593.0,300.0,Stephon Johnson Jr.,Oklahoma St.,521,2022-23,3,"[3, 7, 13]","['09/17/2022', '10/22/2022', '12/27/2022']","['Ark.-Pine Bluff', 'Texas', 'Wisconsin']","[55.0, 90.0, 84.0]"
611.0,117.0,Braydon Johnson,Oklahoma St.,521,2022-23,6,"[1, 2, 3, 4, 11, 12]","['09/01/2022', '09/10/2022', '09/17/2022', '10/01/2022', '11/19/2022', '11/26/2022']","['Central Mich.', 'Arizona St.', 'Ark.-Pine Bluff', 'Baylor', 'Oklahoma', 'West Virginia']","[133.0, 81.0, 86.0, 60.0, 109.0, 60.0]"
82.0,12.0,Marvin Mims Jr.,Oklahoma,522,2022-23,10,"[1, 2, 3, 4, 7, 9, 10, 11, 12, 13]","['09/03/2022', '09/10/2022', '09/17/2022', '09/24/2022', '10/15/2022', '11/05/2022', '11/12/2022', '11/19/2022', '11/26/2022', '12/29/2022']","['UTEP', 'Kent St.', 'Nebraska', 'Kansas St.', 'Kansas', 'Baylor', 'West Virginia', 'Oklahoma St.', 'Texas Tech', 'Florida St.']","[81.0, 163.0, 66.0, 87.0, 106.0, 120.0, 98.0, 68.0, 162.0, 77.0]"
1176.0,212.0,Brayden Willis,Oklahoma,522,2022-23,4,"[5, 7, 12, 13]","['10/01/2022', '10/15/2022', '11/26/2022', '12/29/2022']","['TCU', 'Kansas', 'Texas Tech', 'Florida St.']","[81.0, 102.0, 74.0, 58.0]"
1176.0,212.0,Jalil Farooq,Oklahoma,522,2022-23,4,"[3, 4, 8, 13]","['09/17/2022', '09/24/2022', '10/29/2022', '12/29/2022']","['Nebraska', 'Kansas St.', 'Iowa St.', 'Florida St.']","[58.0, 69.0, 74.0, 59.0]"
3023.0,536.0,Eric Gray,Oklahoma,522,2022-23,1,[9],['11/05/2022'],['Baylor'],[58.0]
1593.0,300.0,Theo Wease,Oklahoma,522,2022-23,3,"[4, 7, 12]","['09/24/2022', '10/15/2022', '11/26/2022']","['Kansas St.', 'Kansas', 'Texas Tech']","[75.0, 56.0, 123.0]"
2169.0,402.0,Drake Stoops,Oklahoma,522,2022-23,2,"[11, 12]","['11/19/2022', '11/26/2022']","['Oklahoma St.', 'Texas Tech']","[89.0, 55.0]"
1593.0,300.0,Blake Watson,Old Dominion,523,2022-23,3,"[5, 11, 12]","['10/01/2022', '11/19/2022', '11/26/2022']","['Liberty', 'App State', 'South Alabama']","[60.0, 73.0, 88.0]"
3023.0,536.0,Zack Kuntz,Old Dominion,523,2022-23,1,[3],['09/17/2022'],['Virginia'],[83.0]
3023.0,536.0,Ahmarian Granger,Old Dominion,523,2022-23,1,[12],['11/26/2022'],['South Alabama'],[71.0]
861.0,156.0,Javon Harvey,Old Dominion,523,2022-23,5,"[5, 7, 8, 9, 11]","['10/01/2022', '10/22/2022', '10/29/2022', '11/05/2022', '11/19/2022']","['Liberty', 'Ga. Southern', 'Georgia St.', 'Marshall', 'App State']","[64.0, 56.0, 124.0, 60.0, 133.0]"
