Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Total Tackles
Edriece Patterson,Army West Point,725,2019-20,1,[13],['12/14/2019'],['Navy'],[12.0]
Paul Carothers,Navy,726,2019-20,1,[4],['10/05/2019'],['Air Force'],[12.0]
Jacob Springer,Navy,726,2019-20,1,[9],['11/16/2019'],['Notre Dame'],[10.0]
Kevin Brennan,Navy,726,2019-20,1,[8],['11/01/2019'],['UConn'],[12.0]
Diego Fagot,Navy,726,2019-20,4,"[4, 6, 9, 10]","['10/05/2019', '10/19/2019', '11/16/2019', '11/23/2019']","['Air Force', 'South Fla.', 'Notre Dame', 'SMU']","[12.0, 10.0, 10.0, 10.0]"
J'arius Warren,Navy,726,2019-20,1,[12],['12/14/2019'],['Army West Point'],[11.0]
Troy Lefeged Jr.,Utah St.,731,2019-20,5,"[1, 4, 5, 10, 13]","['08/30/2019', '09/28/2019', '10/05/2019', '11/16/2019', '12/20/2019']","['Wake Forest', 'Colorado St.', 'LSU', 'Wyoming', 'Kent St.']","[10.0, 11.0, 10.0, 12.0, 14.0]"
David Woodward,Utah St.,731,2019-20,6,"[1, 3, 4, 5, 6, 7]","['08/30/2019', '09/21/2019', '09/28/2019', '10/05/2019', '10/19/2019', '10/26/2019']","['Wake Forest', 'San Diego St.', 'Colorado St.', 'LSU', 'Nevada', 'Air Force']","[24.0, 13.0, 14.0, 16.0, 11.0, 11.0]"
Kevin Meitzenheimer,Utah St.,731,2019-20,2,"[5, 10]","['10/05/2019', '11/16/2019']","['LSU', 'Wyoming']","[13.0, 12.0]"
Elijah Shelton,Utah St.,731,2019-20,1,[13],['12/20/2019'],['Kent St.'],[10.0]
Eric Munoz,Utah St.,731,2019-20,1,[10],['11/16/2019'],['Wyoming'],[13.0]
DJ Williams,Utah St.,731,2019-20,2,"[3, 7]","['09/21/2019', '10/26/2019']","['San Diego St.', 'Air Force']","[12.0, 14.0]"
Shaq Bond,Utah St.,731,2019-20,1,[7],['10/26/2019'],['Air Force'],[12.0]
Devin Lloyd,Utah,732,2019-20,1,[2],['09/07/2019'],['NIU'],[10.0]
Francis Bernard,Utah,732,2019-20,3,"[2, 5, 13]","['09/07/2019', '09/28/2019', '12/06/2019']","['NIU', 'Washington St.', 'Oregon']","[12.0, 12.0, 10.0]"
Julian Blackmon,Utah,732,2019-20,1,[10],['11/16/2019'],['UCLA'],[12.0]
Terrell Burgess,Utah,732,2019-20,2,"[9, 13]","['11/02/2019', '12/06/2019']","['Washington', 'Oregon']","[10.0, 12.0]"
Tae Daley,Vanderbilt,736,2019-20,2,"[7, 8]","['10/19/2019', '11/02/2019']","['Missouri', 'South Carolina']","[11.0, 16.0]"
Dimitri Moore,Vanderbilt,736,2019-20,5,"[6, 7, 8, 10, 12]","['10/12/2019', '10/19/2019', '11/02/2019', '11/16/2019', '11/30/2019']","['UNLV', 'Missouri', 'South Carolina', 'Kentucky', 'Tennessee']","[12.0, 11.0, 11.0, 13.0, 11.0]"
Dashaun Jerkins,Vanderbilt,736,2019-20,1,[1],['08/31/2019'],['Georgia'],[14.0]
Divine Deablo,Virginia Tech,742,2019-20,2,"[1, 12]","['08/31/2019', '11/29/2019']","['Boston College', 'Virginia']","[10.0, 11.0]"
Rayshard Ashby,Virginia Tech,742,2019-20,6,"[1, 2, 5, 7, 8, 13]","['08/31/2019', '09/07/2019', '10/05/2019', '10/19/2019', '11/02/2019', '12/31/2019']","['Boston College', 'Old Dominion', 'Miami (FL)', 'North Carolina', 'Notre Dame', 'Kentucky']","[13.0, 10.0, 11.0, 18.0, 13.0, 14.0]"
Dax Hollifield,Virginia Tech,742,2019-20,1,[3],['09/14/2019'],['Furman'],[10.0]
Alan Tisdale,Virginia Tech,742,2019-20,1,[13],['12/31/2019'],['Kentucky'],[14.0]
Joey Blount,Virginia,746,2019-20,3,"[5, 7, 13]","['09/28/2019', '10/19/2019', '12/07/2019']","['Notre Dame', 'Duke', 'Clemson']","[10.0, 10.0, 11.0]"
Zane Zandier,Virginia,746,2019-20,2,"[13, 14]","['12/07/2019', '12/30/2019']","['Clemson', 'Florida']","[10.0, 13.0]"
Charles Snowden,Virginia,746,2019-20,1,[4],['09/21/2019'],['Old Dominion'],[15.0]
Matt Gahm,Virginia,746,2019-20,1,[4],['09/21/2019'],['Old Dominion'],[10.0]
Heskin Smith,Virginia,746,2019-20,1,[13],['12/07/2019'],['Clemson'],[10.0]
Jordan Mack,Virginia,746,2019-20,1,[3],['09/14/2019'],['Florida St.'],[13.0]
Chris Moore,Virginia,746,2019-20,1,[7],['10/19/2019'],['Duke'],[12.0]
"Ryan Smenda, Jr.",Wake Forest,749,2019-20,2,"[9, 11]","['11/09/2019', '11/23/2019']","['Virginia Tech', 'Duke']","[10.0, 11.0]"
Trey Rucker,Wake Forest,749,2019-20,2,"[12, 13]","['11/30/2019', '12/27/2019']","['Syracuse', 'Michigan St.']","[10.0, 10.0]"
Nasir Greer,Wake Forest,749,2019-20,3,"[3, 5, 7]","['09/13/2019', '09/28/2019', '10/19/2019']","['North Carolina', 'Boston College', 'Florida St.']","[10.0, 10.0, 11.0]"
Justin Strnad,Wake Forest,749,2019-20,3,"[1, 3, 5]","['08/30/2019', '09/13/2019', '09/28/2019']","['Utah St.', 'North Carolina', 'Boston College']","[12.0, 15.0, 13.0]"
Essang Bassey,Wake Forest,749,2019-20,1,[12],['11/30/2019'],['Syracuse'],[10.0]
Ja'Cquez Williams,Wake Forest,749,2019-20,3,"[9, 11, 12]","['11/09/2019', '11/23/2019', '11/30/2019']","['Virginia Tech', 'Duke', 'Syracuse']","[11.0, 10.0, 10.0]"
