Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Pass Yards
168.0,28.0,James Blackman,Arkansas St.,30,2021-22,3,"[2, 4, 5]","['09/11/2021', '09/25/2021', '10/02/2021']","['Memphis', 'Tulsa', 'Ga. Southern']","[306.0, 321.0, 302.0]"
269.0,44.0,Layne Hatcher,Arkansas St.,30,2021-22,2,"[7, 10]","['10/21/2021', '11/13/2021']","['Louisiana', 'ULM']","[300.0, 444.0]"
168.0,28.0,KJ Jefferson,Arkansas,31,2021-22,3,"[3, 6, 11]","['09/18/2021', '10/09/2021', '11/20/2021']","['Ga. Southern', 'Ole Miss', 'Alabama']","[366.0, 326.0, 326.0]"
443.0,76.0,Bo Nix,Auburn,37,2021-22,1,[10],['11/13/2021'],['Mississippi St.'],[377.0]
443.0,76.0,Drew Plitt,Ball St.,47,2021-22,1,[6],['10/09/2021'],['Western Mich.'],[310.0]
443.0,76.0,Gerry Bohanon,Baylor,51,2021-22,1,[6],['10/09/2021'],['West Virginia'],[336.0]
269.0,44.0,Hank Bachmeier,Boise St.,66,2021-22,2,"[2, 5]","['09/10/2021', '10/02/2021']","['UTEP', 'Nevada']","[340.0, 388.0]"
269.0,44.0,Phil Jurkovec,Boston College,67,2021-22,2,"[1, 10]","['09/04/2021', '11/13/2021']","['Colgate', 'Georgia Tech']","[304.0, 310.0]"
443.0,76.0,Dennis Grosel,Boston College,67,2021-22,1,[5],['10/02/2021'],['Clemson'],[311.0]
443.0,76.0,Matt McDonald,Bowling Green,71,2021-22,1,[2],['09/11/2021'],['South Alabama'],[308.0]
443.0,76.0,Baylor Romney,BYU,77,2021-22,1,[4],['09/25/2021'],['South Fla.'],[305.0]
113.0,21.0,Jaren Hall,BYU,77,2021-22,4,"[6, 7, 9, 11]","['10/09/2021', '10/16/2021', '10/30/2021', '11/20/2021']","['Boise St.', 'Baylor', 'Virginia', 'Ga. Southern']","[302.0, 342.0, 349.0, 312.0]"
18.0,7.0,Jake Haener,Fresno St.,96,2021-22,8,"[1, 3, 4, 5, 6, 9, 11, 12]","['08/28/2021', '09/11/2021', '09/18/2021', '09/24/2021', '10/02/2021', '10/30/2021', '11/13/2021', '11/25/2021']","['UConn', 'Cal Poly', 'UCLA', 'UNLV', 'Hawaii', 'San Diego St.', 'New Mexico', 'San Jose St.']","[331.0, 380.0, 455.0, 378.0, 388.0, 306.0, 300.0, 343.0]"
269.0,44.0,Chase Garbers,California,107,2021-22,2,"[2, 4]","['09/11/2021', '09/25/2021']","['TCU', 'Washington']","[309.0, 319.0]"
443.0,76.0,Dorian Thompson-Robinson,UCLA,110,2021-22,1,[10],['11/20/2021'],['Southern California'],[349.0]
269.0,44.0,Dillon Gabriel,UCF,128,2021-22,2,"[1, 12]","['09/02/2021', '09/11/2021']","['Boise St.', 'Bethune-Cookman']","[318.0, 312.0]"
443.0,76.0,Daniel Richardson,Central Mich.,129,2021-22,1,[5],['10/02/2021'],['Miami (OH)'],[326.0]
269.0,44.0,Desmond Ridder,Cincinnati,140,2021-22,2,"[10, 12]","['11/12/2021', '11/26/2021']","['South Fla.', 'East Carolina']","[304.0, 301.0]"
168.0,28.0,Grayson McCall,Coastal Carolina,149,2021-22,3,"[6, 11, 13]","['10/07/2021', '11/20/2021', '12/17/2021']","['Arkansas St.', 'Texas St.', 'NIU']","[365.0, 319.0, 315.0]"
269.0,44.0,Todd Centeio,Colorado St.,156,2021-22,2,"[1, 11]","['09/03/2021', '11/20/2021']","['South Dakota St.', 'Hawaii']","[304.0, 527.0]"
